hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.928262184Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=937.815탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.933025063Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.93437434Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=1.349247ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.939782509Z level=info msg="Executing migration" id="Update user table charset"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.939846825Z level=info msg="Migration successfully executed" id="Update user table charset" duration=67.897탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.944531Z level=info msg="Executing migration" id="Add last_seen_at column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.945637032Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=1.108472ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.950158436Z level=info msg="Executing migration" id="Add missing user data"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.950533494Z level=info msg="Migration successfully executed" id="Add missing user data" duration=378.529탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.95537199Z level=info msg="Executing migration" id="Add is_disabled column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.956626557Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=1.255168ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.961317488Z level=info msg="Executing migration" id="Add index user.login/user.email"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.962276695Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=959.928탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.96760231Z level=info msg="Executing migration" id="Add is_service_account column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.968660748Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=1.060518ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.973538262Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.981462417Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=7.921364ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.986470785Z level=info msg="Executing migration" id="Add uid column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.988366027Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=1.911854ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.993635472Z level=info msg="Executing migration" id="Update uid column values for users"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.993999129Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=365.938탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.999603842Z level=info msg="Executing migration" id="Make sure users uid are set"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.000048597Z level=info msg="Migration successfully executed" id="Make sure users uid are set" duration=447.056탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.00841051Z level=info msg="Executing migration" id="Add unique index user_uid"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.009339955Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=932.334탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.015302274Z level=info msg="Executing migration" id="Add is_provisioned column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.017185725Z level=info msg="Migration successfully executed" id="Add is_provisioned column to user" duration=1.880451ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.027554833Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.028012089Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=458.507탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.032904026Z level=info msg="Executing migration" id="update service accounts login field orgid to appear only once"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.033657502Z level=info msg="Migration successfully executed" id="update service accounts login field orgid to appear only once" duration=753.257탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.039090648Z level=info msg="Executing migration" id="update login and email fields to lowercase"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.039952301Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=860.182탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.045133786Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.045720856Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=590.33탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.054981593Z level=info msg="Executing migration" id="Add index on user.is_service_account and user.last_seen_at"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.055997432Z level=info msg="Migration successfully executed" id="Add index on user.is_service_account and user.last_seen_at" duration=1.015299ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.061872845Z level=info msg="Executing migration" id="Expand user.uid length to 190"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.062021068Z level=info msg="Migration successfully executed" id="Expand user.uid length to 190" duration=151.123탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.067153677Z level=info msg="Executing migration" id="Prefix SCIM uid for provisioned users"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.067586344Z level=info msg="Migration successfully executed" id="Prefix SCIM uid for provisioned users" duration=435.558탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.073659495Z level=info msg="Executing migration" id="create temp user table v1-7"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.074577036Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=916.69탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.080161233Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.081141879Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=982.436탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.08647934Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.087650993Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=1.169932ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.095889518Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.096905736Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=1.017049ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.102086259Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.103161323Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=1.074304ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.108936923Z level=info msg="Executing migration" id="Update temp_user table charset"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.10901309Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=80.297탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.114042494Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.115305974Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=1.26087ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.120224834Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
